,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
0,212206,Magrath Boulevard West of Magrath View,2017,4400.0,53.4501448,-113.5567456
1,251429,106 Street North of  36A Avenue,2014,10500.0,53.4718457,-113.5041083
3,531327,24 Street North of  23 Avenue,2013,7200.0,53.4549753,-113.3778706
4,219316,36A Avenue West of 106A Street,2017,1500.0,53.4712087,-113.5066084
6,441505,100 Street North of 161 Avenue,2014,4700.0,53.6228338,-113.4963202
7,203908,Rutherford Road SW West of 112 Street SW,2015,5700.0,53.4210483,-113.5192799
9,103632,115 Avenue West of Fort Road,2016,4100.0,53.5657977,-113.47274
10,422020,McConachie Drive West of  50 Street,2014,2400.0,53.631264,-113.4193
11,264605,178 Street North of  76 Avenue,2017,31100.0,53.510298,-113.630118
12,216592,31 Avenue West of 105A Street,2018,900.0,53.4634622,-113.5021208
13,336929,184 Street North of 111 Avenue,2015,15600.0,53.5602266,-113.6395911
16,302324,87 Avenue West of 159 Street,2011,19400.0,53.519501,-113.598793
18,402364,129 Avenue West of  66 Street,2013,4300.0,53.5876637,-113.4438808
19,538019,75 Street North of  76 Avenue,2017,37100.0,53.512947,-113.4429365
21,402632,129 Avenue West of 124 Street,2016,2200.0,53.587589,-113.5373922
22,435685,59A Street North of 152C Avenue,2017,1500.0,53.6154618,-113.4328011
23,332933,142 Street North of 101A Avenue,2016,25000.0,53.5423814,-113.5656309
25,100346,99 Avenue West of  88 Street,2012,300.0,53.5411896,-113.4666876
26,311192,107 Avenue West of 144 Street,2012,29600.0,53.5510698,-113.5741655
28,102624,111 Avenue West of 113 Street,2018,23100.0,53.5589286,-113.51919
30,104346,118 Avenue West of  80 Street,2018,16300.0,53.5704175,-113.464799
31,300073,124 Street North of 124 Avenue,2015,1500.0,53.5795007,-113.5359083
34,112097,105 Street North of 102 Avenue,2013,11900.0,53.543525,-113.5010776
36,435163,Manning Drive North of 158 Avenue,2016,34400.0,53.6205082,-113.3995982
38,534759,50 Street North of Anthony Hendey Drive South,2016,33400.0,53.440805,-113.418516
39,521020,76 Avenue West of  98 Street,2015,6000.0,53.512289,-113.485134
